CODGEO,P19_POP,SUPERF,P19_LOG,P19_RP,dens_pop_km2,rap_log_rp,libelle,latitude,longitude
01215,140.0,7.99,109.318612723734,62.3186127237341,17.52,0.57,Lhôpital,46.0238143134,5.76236736492
01216,894.0,24.43,545.052991114033,369.351327142566,36.59,0.68,Lhuis,45.7444141403,5.53602066955
01219,164.0,12.69,111.0,77.0,12.92,0.69,Lompnas,45.8105943351,5.52320457866
01224,3225.0,21.28,1364.09728454383,1248.61205308403,151.55,0.92,Loyettes,45.7921564114,5.21770971647
01225,372.0,4.81,169.487832945892,154.046656475304,77.34,0.91,Lurcy,46.061730034,4.78075207026
01227,643.0,11.37,356.988976971921,276.429906542056,56.55,0.77,Magnieu,45.7754050255,5.71540945601
01228,660.0,11.31,318.0,270.0,58.36,0.85,Maillat,46.1201642836,5.52854394238
01229,1235.0,9.19,605.056198748534,542.548002027223,134.39,0.9,Malafretaz,46.3295545661,5.14386299599
01230,312.0,10.8,167.18772372716,141.18772372716,28.89,0.84,Mantenay-Montlin,46.4302754511,5.10675899732
01231,1948.0,12.63,895.76202474841,822.277511474074,154.24,0.92,Manziat,46.3643830585,4.90242777155
01232,2276.0,40.14,1089.03336780457,984.99297858873,56.7,0.9,Marboz,46.3434312497,5.24374534963
01233,130.0,13.11,99.9282905389776,60.5343511450382,9.92,0.61,Marchamp,45.7738495266,5.54985181107
01234,169.0,3.55,95.0,78.0,47.61,0.82,Marignieu,45.8010384947,5.71570352924
01235,1159.0,16.85,535.307684281648,480.687684281648,68.78,0.9,Marlieux,46.0549073186,5.0741150816
01236,1011.0,18.38,482.0,416.0,55.01,0.86,Marsonnas,46.3409117711,5.06434294764
01237,1667.0,13.25,700.502235521884,646.606460873997,125.81,0.92,Martignat,46.2030768095,5.61384033805
01238,2670.0,3.1,1089.2846168486,1046.69416027462,861.29,0.96,Massieux,45.9094016817,4.82779660051
01239,620.0,9.52,321.855885937378,257.32980818352,65.13,0.8,Massignieu-de-Rives,45.7571503942,5.7620535823
01240,627.0,21.54,398.268737394717,270.214189755645,29.11,0.68,Matafelon-Granges,46.2565319445,5.53958933702
01241,1356.0,17.74,644.0,576.0,76.44,0.89,Meillonnas,46.244997627,5.33594738489
01242,135.0,3.17,91.0,61.0,42.59,0.67,Mérignat,46.0648564341,5.44210660051
01243,1253.0,5.95,558.0,499.0,210.59,0.89,Messimy-sur-Saône,46.0472670758,4.75935643933
01244,7923.0,13.75,3678.8586744067,3355.28728575065,576.22,0.91,Meximieux,45.9060530318,5.20404833653
01245,943.0,23.51,488.022270179017,396.26551342226,40.11,0.81,Bohas-Meyriat-Rignat,46.1427060662,5.3780109646
01246,2217.0,19.17,1031.8401923687,914.179744922525,115.65,0.89,Mézériat,46.2423102101,5.04725416984
01247,312.0,22.0,712.985775217168,146.086956521739,14.18,0.2,Mijoux,46.3622451724,6.00902631941
01248,2197.0,19.62,909.087437183205,868.035189309572,111.98,0.95,Mionnay,45.8955939299,4.92416967439
01249,10122.0,24.49,4572.66157366868,4132.83618448556,413.31,0.9,Miribel,45.8442099203,4.94106746787
01250,1974.0,7.41,721.10536647108,695.071129666515,266.4,0.96,Misérieux,45.9762325343,4.81028471711
01252,786.0,8.57,366.0,314.0,91.72,0.86,Mogneneins,46.1446696076,4.820110702
01254,2116.0,13.75,927.303862932449,834.981055914905,153.89,0.9,Montagnat,46.1686969123,5.27962107938
01255,647.0,6.22,336.0,269.0,104.02,0.8,Montagnieu,45.799449019,5.46428608859
01257,351.0,13.7,210.0,153.0,25.62,0.73,Montanges,46.17325293,5.79006091307
01258,1190.0,10.03,495.939790173793,461.264107019175,118.64,0.93,Montceaux,46.0962893261,4.80453564172
01259,702.0,6.68,277.614603731965,265.728813559322,105.09,0.96,Montcet,46.219333227,5.11149132074
01260,302.0,15.38,128.14301507902,110.269736842105,19.64,0.86,Le Montellier,45.9287482486,5.07092815964
01261,668.0,10.75,299.861443646077,259.095405910228,62.14,0.86,Monthieux,45.9622791838,4.94555984534
01262,6886.0,40.11,3259.0,2964.0,171.68,0.91,Montluel,45.8909006209,5.01987566185
01263,3772.0,4.16,1761.46861471866,1624.25649350653,906.73,0.92,Montmerle-sur-Saône,46.0849573236,4.7608579486
01264,1016.0,14.56,434.0,413.0,69.78,0.95,Montracol,46.1867200301,5.11706011755
01265,3456.0,12.83,1670.52247733602,1518.80045130433,269.37,0.91,Montréal-la-Cluse,46.1795688194,5.59510550127
01266,2576.0,10.27,1375.9559685792,1211.56030070917,250.83,0.88,Montrevel-en-Bresse,46.3252811442,5.11295966315
01267,1025.0,19.34,453.956133564616,415.715118765462,53.0,0.92,Nurieux-Volognat,46.1830720992,5.51435812316
01268,246.0,6.46,135.0,107.0,38.08,0.79,Murs-et-Gélignieux,45.6420014274,5.66039684889
01269,3454.0,12.79,2012.37808815006,1499.96099092132,270.05,0.75,Nantua,46.1537845403,5.61352793799
01272,1500.0,26.59,772.840140498561,673.698152456185,56.41,0.87,Neuville-les-Dames,46.1567753049,5.00942432434
01273,1800.0,19.79,875.060502424577,722.908710935765,90.96,0.83,Neuville-sur-Ain,46.0909654813,5.37349784691
01274,645.0,9.5,289.0,249.0,67.89,0.86,Les Neyrolles,46.1342937114,5.63714517869
01275,2569.0,5.36,1084.52315414147,1027.53067280882,479.29,0.95,Neyron,45.8184192468,4.9309045685
01276,1624.0,10.46,594.126180781363,571.975753430936,155.26,0.96,Niévroz,45.8222941077,5.05949629195
01277,117.0,8.24,100.586834733894,58.0084033613445,14.2,0.58,Nivollet-Montgriffon,45.9999448244,5.45847815374
01279,80.0,7.76,76.8571428571429,42.8571428571429,10.31,0.56,Oncieu,45.9651165469,5.47146617499
01280,138.0,14.88,127.757255883926,70.468085106383,9.27,0.55,Ordonnaz,45.8339690378,5.5395794296
01281,4483.0,5.64,2136.25787649269,1861.19458535344,794.86,0.87,Ornex,46.2774557513,6.09454723599
01282,258.0,5.91,131.0,110.0,43.65,0.84,Outriaz,46.067796636,5.55697547429
01283,22456.0,36.18,11244.8287861119,9650.85716449351,620.67,0.86,Oyonnax,46.2605435859,5.65344320923
01284,694.0,6.6,308.151947003177,278.575071234419,105.15,0.9,Ozan,46.3867168877,4.91805840196
01285,1229.0,3.14,499.601693808965,458.703588519821,391.4,0.92,Parcieux,45.9184267932,4.82747423402
01286,951.0,15.86,494.0,409.0,59.96,0.83,Parves et Nattages,45.7437340183,5.73800737134
01286,951.0,15.86,494.0,409.0,59.96,0.83,Parves,45.7437340183,5.73800737134
